transaction_id,customer_id,sender_account,receiver_account,receiver_name,receiver_bank,merchant_category,merchant_name,amount,payment_method,transaction_time,transaction_location,transaction_country,transaction_status,currency
TXN_D170DCD721E7,CUST_ACBB55076F6F,AC538460431,REC_AC793169,Arjun Sharma,ICICI Bank,Groceries,Reliance Smart,2319.37,Net Banking,2026-06-17 04:42:02,Delhi,India,Failed,INR
TXN_F4D7D34A44F3,CUST_AA9EDE3072FA,AC905817775,REC_AC630108,Sai Singh,Yes Bank,Travel,MakeMyTrip,811.81,Net Banking,2026-06-17 05:03:02,Chennai,India,Success,INR
TXN_88264F840C2E,CUST_01C02537A5CA,AC822408848,REC_AC880758,Sita Kumar,Kotak Mahindra,Electronics,Croma,268.69,UPI,2026-06-17 05:24:02,Kochi,India,Success,INR
TXN_9C38D4C03AFB,CUST_15C44D3CE34B,AC176428684,REC_AC467121,Isha Singh,Yes Bank,Food,Swiggy,16391.32,Net Banking,2026-06-17 06:20:02,Indore,India,Success,INR
TXN_DD8C67C41E71,CUST_41A22B0C3C72,AC807577342,REC_AC876962,Aditya Sengupta,SBI,Electronics,Croma,328.95,NEFT,2026-06-17 06:22:02,Hyderabad,India,Success,INR
TXN_3CB6189190CC,CUST_F77382D72C38,AC824022357,REC_AC219346,Sai Menon,PNB,Food,Zomato,11314.08,IMPS,2026-06-17 06:33:02,Mumbai,India,Success,INR
TXN_1E4435565E74,CUST_ACBB55076F6F,AC538460431,REC_AC793169,Arjun Sharma,ICICI Bank,Food,Swiggy,10040.47,Net Banking,2026-06-17 06:47:02,Delhi,India,Success,INR
TXN_2746E75415F4,CUST_01D4765F0DCC,AC695295870,REC_AC479430,Sunita Singh,SBI,E-commerce,Flipkart,8650.64,NEFT,2026-06-17 07:24:02,Kolkata,India,Success,INR
TXN_569B75B3B804,CUST_0BBCAD5EF2DA,AC621454127,REC_AC207798,Vikram Gupta,Kotak Mahindra,E-commerce,Flipkart,658.28,NEFT,2026-06-17 07:29:02,Hyderabad,India,Success,INR
TXN_61EECB854609,CUST_0D563A0F2D46,AC812921644,REC_AC584172,Vihaan Joshi,Yes Bank,Groceries,Reliance Smart,3756.21,Net Banking,2026-06-17 08:25:02,Indore,India,Success,INR
TXN_E42EA361B2E5,CUST_3AC0F315E32D,AC209415691,REC_AC849014,Rajesh Gupta,HDFC Bank,Groceries,Reliance Smart,185.73,Debit Card,2026-06-17 08:54:02,Lucknow,India,Success,INR
TXN_11B6EE67D62C,CUST_E762728AC2C4,AC751397897,REC_AC364236,Suresh Kumar,ICICI Bank,E-commerce,Amazon India,1190.97,NEFT,2026-06-17 09:19:02,Pune,India,Success,INR
TXN_69523B28FDE8,CUST_6E9FB0F33173,AC851044796,REC_AC530728,Mahesh Chatterjee,PNB,Retail,Local Kirana,285.18,Debit Card,2026-06-17 09:39:02,Lucknow,India,Success,INR
TXN_56144DDC2E1F,CUST_A62F2F92E34C,AC787194506,REC_AC748052,Riya Kumar,SBI,Groceries,D-Mart,4960.45,UPI,2026-06-17 09:49:02,Ahmedabad,India,Success,INR
TXN_C51305C29D3B,CUST_8B279B4E00CF,AC359154084,REC_AC485709,Pooja Bose,Axis Bank,Groceries,Reliance Smart,308.46,NEFT,2026-06-17 10:18:02,Jaipur,India,Success,INR
TXN_E87B07CB6832,CUST_C6FAC3E395B8,AC866162966,REC_AC254506,Aditya Rao,Yes Bank,E-commerce,Flipkart,1504.32,IMPS,2026-06-17 11:00:02,Chennai,India,Success,INR
TXN_E9A17D7492EB,CUST_F969633BDDB5,AC162795957,REC_AC326130,Sneha Sengupta,Axis Bank,E-commerce,Flipkart,3631.25,IMPS,2026-06-17 11:24:02,Delhi,India,Success,INR
TXN_0FB23C4EFCFF,CUST_8866C1FABF99,AC269820594,REC_AC469954,Ananya Gupta,PNB,Groceries,D-Mart,73149.32,IMPS,2026-06-17 11:29:02,Delhi,India,Success,INR
TXN_A362F436135C,CUST_0D563A0F2D46,AC812921644,REC_AC584172,Vihaan Joshi,Yes Bank,Travel,Cleartrip,1140.01,Net Banking,2026-06-17 11:32:02,Indore,India,Success,INR
TXN_EB316DDCEFFF,CUST_B385A110F05A,AC809129316,REC_AC955015,Amit Verma,Yes Bank,Food,Swiggy,2757.36,Credit Card,2026-06-17 11:37:02,Chandigarh,India,Success,INR
TXN_98A92088FD66,CUST_01D4765F0DCC,AC695295870,REC_AC862400,Ananya Gupta,Kotak Mahindra,Food,Swiggy,2122.51,NEFT,2026-06-17 12:05:02,Indore,India,Success,INR
TXN_4ECCDF309CBF,CUST_2CEC9252A0A1,AC258453521,REC_AC132653,Meera Bose,HDFC Bank,Groceries,Reliance Smart,3137.27,Credit Card,2026-06-17 12:28:02,Gurgaon,India,Success,INR
TXN_C0CD254DB054,CUST_73B41940F312,AC723403479,REC_AC741599,Neha Reddy,HDFC Bank,Crypto,Binance,8830.24,Net Banking,2026-06-17 12:52:02,Gurgaon,India,Success,INR
TXN_8153A7A8BBAA,CUST_686953EEE179,AC339362341,REC_AC479052,Sai Reddy,Yes Bank,Food,Zomato,34477.25,Debit Card,2026-06-17 13:35:02,Chennai,India,Success,INR
TXN_5684E37B046C,CUST_71749AF6CF43,AC253407200,REC_AC432427,Kavya Bose,PNB,Travel,Cleartrip,1555.35,NEFT,2026-06-17 14:15:02,Gurgaon,India,Success,INR
TXN_BA86EB01613E,CUST_8866C1FABF99,AC269820594,REC_AC469954,Ananya Gupta,PNB,E-commerce,Flipkart,42155.55,IMPS,2026-06-17 15:09:02,Delhi,India,Success,INR
TXN_EF65F114D9E8,CUST_E11D4A73CB51,AC860229059,REC_AC908475,Rajesh Reddy,Yes Bank,Food,Swiggy,10640.09,IMPS,2026-06-17 15:20:02,Indore,India,Success,INR
TXN_184E0A5D1579,CUST_1A4574854941,AC739362057,REC_AC153063,Sunita Jain,SBI,Groceries,Reliance Smart,17644.45,Debit Card,2026-06-17 15:40:02,Kochi,India,Success,INR
TXN_08E027994A9E,CUST_0BBCAD5EF2DA,AC621454127,REC_AC207798,Vikram Gupta,Kotak Mahindra,Groceries,D-Mart,704.44,NEFT,2026-06-17 16:12:02,Hyderabad,India,Success,INR
TXN_AAF8FC578974,CUST_99B31E34B435,AC110002396,REC_AC628750,Sneha Nair,Yes Bank,Food,Swiggy,1144.79,IMPS,2026-06-17 16:21:02,Pune,India,Success,INR
TXN_F46F5359D68D,CUST_0BBCAD5EF2DA,AC621454127,REC_AC631958,Sneha Chatterjee,PNB,E-commerce,Amazon India,1996.29,Net Banking,2026-06-17 16:02:10,Hyderabad,India,Success,INR
TXN_E2DDF3CE287E,CUST_41D9016C2179,AC782454310,REC_AC706574,Mahesh Verma,Kotak Mahindra,Retail,Local Kirana,2561.56,IMPS,2026-06-17 16:29:10,Delhi,India,Success,INR
TXN_65ED1BF277D1,CUST_166BFE400FBB,AC969119330,REC_AC218972,Sai Kumar,Axis Bank,Groceries,Reliance Smart,1537.61,Credit Card,2026-06-17 16:42:10,Ahmedabad,India,Success,INR
TXN_0BA176AF09A7,CUST_166838FFAEA4,AC155926488,REC_AC412071,Ramesh Reddy,PNB,Food,Swiggy,3348.56,UPI,2026-06-17 17:41:10,Bengaluru,India,Success,INR
TXN_D6334FD30C05,CUST_01D4765F0DCC,AC695295870,REC_AC862400,Ananya Gupta,Kotak Mahindra,Retail,Local Kirana,1529.24,NEFT,2026-06-17 18:39:10,Kolkata,India,Success,INR
TXN_180EF25AB794,CUST_6D76C861D951,AC208449460,REC_AC105433,Rohan Jain,PNB,Travel,MakeMyTrip,28585.11,Credit Card,2026-06-17 18:55:10,Delhi,India,Success,INR
TXN_43798D0EE687,CUST_3AC0F315E32D,AC209415691,REC_AC849014,Rajesh Gupta,HDFC Bank,Retail,Local Kirana,2403.46,Debit Card,2026-06-17 19:37:10,Lucknow,India,Success,INR
TXN_4BED5112D2F4,CUST_CD50341CE378,AC292587044,REC_AC218118,Mahesh Bose,PNB,Groceries,D-Mart,5857.66,Credit Card,2026-06-17 20:37:10,Kolkata,India,Success,INR
TXN_9295EAEFFB86,CUST_01C02537A5CA,AC822408848,REC_AC374258,Ramesh Rao,HDFC Bank,Crypto,Binance,4598.46,Net Banking,2026-06-17 21:30:10,Kochi,India,Success,INR
TXN_46FB9E5F39A8,CUST_8866C1FABF99,AC269820594,REC_AC469954,Ananya Gupta,PNB,Food,Swiggy,107045.48,IMPS,2026-06-17 22:15:10,Delhi,India,Success,INR
TXN_D87579EAE3F8,CUST_3AC0F315E32D,AC209415691,REC_AC849014,Rajesh Gupta,HDFC Bank,Electronics,Croma,468.48,Debit Card,2026-06-17 22:20:10,Lucknow,India,Success,INR
TXN_660445B1AA42,CUST_1A4574854941,AC739362057,REC_AC869864,Riya Kumar,Yes Bank,E-commerce,Amazon India,716.28,Credit Card,2026-06-17 22:56:10,Chandigarh,India,Failed,INR
TXN_03962C1FF08B,CUST_24ED2A165FC1,AC101815992,REC_AC332120,Rajesh Bose,PNB,Food,Swiggy,111343.66,UPI,2026-06-17 23:20:10,Mumbai,India,Success,INR
TXN_F35987B831AF,CUST_24ED2A165FC1,AC101815992,REC_AC332120,Rajesh Bose,PNB,Food,Swiggy,108892.0,UPI,2026-06-17 23:55:10,Mumbai,India,Success,INR
TXN_D9334691C6C0,CUST_2CEC9252A0A1,AC258453521,REC_AC132653,Meera Bose,HDFC Bank,Food,Zomato,923.11,Credit Card,2026-06-18 00:21:10,Gurgaon,India,Success,INR
TXN_D71D61AACFA1,CUST_41D9016C2179,AC782454310,REC_AC706574,Mahesh Verma,Kotak Mahindra,Travel,MakeMyTrip,2255.2,IMPS,2026-06-18 00:57:10,Delhi,India,Success,INR
TXN_49AEDC281116,CUST_B385A110F05A,AC809129316,REC_AC955015,Amit Verma,Yes Bank,E-commerce,Amazon India,648.84,Credit Card,2026-06-18 01:52:10,Coimbatore,India,Success,INR
TXN_1C5EA721300B,CUST_A62F2F92E34C,AC787194506,REC_AC748052,Riya Kumar,SBI,Travel,Cleartrip,3659.68,UPI,2026-06-18 02:48:10,Ahmedabad,India,Success,INR
TXN_8EFD2C7C1D1C,CUST_3D000F3782B4,AC484194737,REC_AC857505,Anita Iyer,SBI,Groceries,D-Mart,39661.25,Debit Card,2026-06-18 03:24:10,Kochi,India,Success,INR
TXN_5F38742EE7FE,CUST_55C717731AA3,AC327416584,REC_AC612356,Rajesh Chatterjee,Axis Bank,Groceries,D-Mart,4398.77,Net Banking,2026-06-18 03:43:10,Chennai,India,Success,INR
TXN_30104FB28A50,CUST_81E6D90C4760,AC675770529,REC_AC606676,Aarav Sharma,Kotak Mahindra,Crypto,Binance,1023655.29,UPI,2026-06-18 04:17:10,Coimbatore,India,Success,INR
TXN_6681C4617A61,CUST_0BBCAD5EF2DA,AC621454127,REC_AC207798,Vikram Gupta,Kotak Mahindra,Retail,Local Kirana,390.98,NEFT,2026-06-18 04:19:10,Ahmedabad,India,Success,INR
TXN_52ED740762DC,CUST_770111A024A1,AC438817025,REC_AC598598,Aditya Nair,Kotak Mahindra,Food,Swiggy,45822.72,Credit Card,2026-06-18 05:01:10,Lucknow,India,Success,INR
TXN_CFB4C85925A7,CUST_B385A110F05A,AC809129316,REC_AC955015,Amit Verma,Yes Bank,Food,Swiggy,795.04,Credit Card,2026-06-18 05:50:10,Chandigarh,India,Success,INR
TXN_2CFCAAA5D604,CUST_ACBB55076F6F,AC538460431,REC_AC793169,Arjun Sharma,ICICI Bank,Electronics,Croma,2370.35,Net Banking,2026-06-18 06:29:10,Delhi,India,Success,INR
TXN_620E2185CD63,CUST_DF7E3A9C08AE,AC756783995,REC_AC477400,Sai Kumar,HDFC Bank,Travel,MakeMyTrip,516.11,NEFT,2026-06-18 06:35:10,Kochi,India,Success,INR
TXN_BF3BF26A375E,CUST_AA9EDE3072FA,AC905817775,REC_AC630108,Sai Singh,Yes Bank,E-commerce,Amazon India,868.36,Net Banking,2026-06-18 07:14:10,Chennai,India,Success,INR
TXN_0B00AE51A415,CUST_3004622EBCCF,AC857704655,REC_AC419457,Riya Iyer,Yes Bank,Food,Zomato,5036.42,Credit Card,2026-05-17 19:33:02,Delhi,India,Success,INR
TXN_93C34AE0A29C,CUST_3D000F3782B4,AC484194737,REC_AC643623,Gita Chatterjee,PNB,Food,Swiggy,68451.22,Debit Card,2026-05-17 20:04:02,Gurgaon,India,Success,INR
TXN_4D72864A5DB3,CUST_6380C85B577F,AC278575192,REC_AC353777,Arjun Jain,Yes Bank,Travel,Cleartrip,322.49,UPI,2026-05-17 20:50:02,Gurgaon,India,Success,INR
TXN_F3066AB4A9F4,CUST_166838FFAEA4,AC155926488,REC_AC440131,Karan Joshi,ICICI Bank,Electronics,Croma,1718.32,UPI,2026-05-17 21:35:02,Chennai,India,Success,INR
TXN_0F4AA2E0F604,CUST_ACBB55076F6F,AC538460431,REC_AC971699,Arjun Joshi,ICICI Bank,E-commerce,Flipkart,1964.57,Net Banking,2026-05-17 22:05:02,Delhi,India,Success,INR
TXN_89C58C435F5F,CUST_A62F2F92E34C,AC787194506,REC_AC748052,Riya Kumar,SBI,E-commerce,Flipkart,4505.5,UPI,2026-05-17 22:26:02,Ahmedabad,India,Success,INR
TXN_CD91C888A3B0,CUST_166BFE400FBB,AC969119330,REC_AC218972,Sai Kumar,Axis Bank,Groceries,Reliance Smart,520.4,Credit Card,2026-05-17 22:52:02,Ahmedabad,India,Success,INR
TXN_146546F842D2,CUST_8866C1FABF99,AC269820594,REC_AC240454,Rahul Menon,HDFC Bank,Travel,MakeMyTrip,84758.64,IMPS,2026-05-17 23:30:02,Delhi,India,Success,INR
TXN_83E5AE9571F0,CUST_9DDA4B54CA2A,AC546434187,REC_AC572908,Sunita Joshi,HDFC Bank,Travel,MakeMyTrip,1401.47,IMPS,2026-05-17 23:42:02,Kolkata,India,Success,INR
TXN_D599279DCA00,CUST_2CEC9252A0A1,AC258453521,REC_AC132653,Meera Bose,HDFC Bank,E-commerce,Amazon India,11351.73,Credit Card,2026-05-18 00:28:02,Gurgaon,India,Success,INR
TXN_AEC3E591C543,CUST_6380C85B577F,AC278575192,REC_AC746081,Vikram Reddy,Yes Bank,Retail,Local Kirana,477.1,Debit Card,2026-05-17 20:43:52,Gurgaon,India,Success,INR
TXN_0B82BBC31799,CUST_B385A110F05A,AC809129316,REC_AC955015,Amit Verma,Yes Bank,Electronics,Croma,1119.66,Credit Card,2026-05-17 21:04:52,Chandigarh,India,Success,INR
TXN_8782835384E3,CUST_A274A25A299E,AC465830215,REC_AC401603,Rohan Patel,Axis Bank,Travel,MakeMyTrip,50675.04,UPI,2026-05-17 21:53:52,Ahmedabad,India,Success,INR
TXN_E13992FF8309,CUST_A62F2F92E34C,AC787194506,REC_AC748052,Riya Kumar,SBI,Electronics,Croma,3736.55,UPI,2026-05-17 22:48:52,Ahmedabad,India,Success,INR
TXN_C072D1BB965F,CUST_1A4574854941,AC739362057,REC_AC869864,Riya Kumar,Yes Bank,Electronics,Croma,1562.31,Credit Card,2026-05-17 23:17:52,Pune,India,Success,INR
TXN_28A5004D1C82,CUST_C6FAC3E395B8,AC866162966,REC_AC254506,Aditya Rao,Yes Bank,Groceries,D-Mart,352.54,IMPS,2026-05-17 23:31:52,Kochi,India,Success,INR
TXN_C3614C71F974,CUST_ACBB55076F6F,AC538460431,REC_AC971699,Arjun Joshi,ICICI Bank,Travel,MakeMyTrip,853.67,Net Banking,2026-05-17 23:56:52,Delhi,India,Success,INR
TXN_D9251806A4EA,CUST_15C44D3CE34B,AC176428684,REC_AC467121,Isha Singh,Yes Bank,Food,Swiggy,11404.22,Net Banking,2026-05-18 00:34:52,Indore,India,Success,INR
TXN_E5020568F493,CUST_24ED2A165FC1,AC101815992,REC_AC695990,Sneha Gupta,Yes Bank,Travel,MakeMyTrip,112586.5,UPI,2026-05-18 01:06:52,Mumbai,India,Success,INR
TXN_71BDD5413283,CUST_6D76C861D951,AC208449460,REC_AC105433,Rohan Jain,PNB,Food,Zomato,43832.56,Credit Card,2026-05-18 02:06:52,Chennai,India,Success,INR
TXN_6A3B190FD114,CUST_9F5234269242,AC920814900,REC_AC798435,Mahesh Gupta,HDFC Bank,Food,Zomato,1043.82,Net Banking,2026-05-18 02:26:52,Hyderabad,India,Success,INR
TXN_A0273112033C,CUST_ACBB55076F6F,AC538460431,REC_AC758015,Kavya Sengupta,ICICI Bank,E-commerce,Flipkart,1568.42,Net Banking,2026-05-18 03:14:52,Delhi,India,Success,INR
TXN_BA59ABF3B9DE,CUST_DE62BFF776A6,AC409893263,REC_AC966120,Isha Singh,Kotak Mahindra,Crypto,Binance,34357.18,Credit Card,2026-05-18 03:29:52,Coimbatore,India,Success,INR
TXN_EB54C61C7E47,CUST_1A4574854941,AC739362057,REC_AC869864,Riya Kumar,Yes Bank,Travel,Cleartrip,952.3,Credit Card,2026-05-18 04:26:52,Pune,India,Failed,INR
TXN_EA5074C5B81B,CUST_F969633BDDB5,AC162795957,REC_AC540208,Vihaan Kumar,PNB,Travel,MakeMyTrip,873.02,IMPS,2026-05-18 04:28:52,Delhi,India,Success,INR
TXN_21A71FE13640,CUST_8966A3CE4048,AC950488739,REC_AC939717,Anita Iyer,ICICI Bank,Groceries,Reliance Smart,298.85,IMPS,2026-05-18 05:06:52,Chennai,India,Success,INR
TXN_6C725D5E7885,CUST_3D000F3782B4,AC484194737,REC_AC857505,Anita Iyer,SBI,Electronics,Croma,43285.47,Debit Card,2026-05-18 05:36:52,Gurgaon,India,Success,INR
TXN_48689A60F785,CUST_41A22B0C3C72,AC807577342,REC_AC876962,Aditya Sengupta,SBI,Groceries,D-Mart,268.33,NEFT,2026-05-18 05:53:52,Ahmedabad,India,Success,INR
TXN_D098FAF5077F,CUST_A62F2F92E34C,AC787194506,REC_AC748052,Riya Kumar,SBI,Retail,Local Kirana,5505.5,UPI,2026-05-18 05:55:52,Ahmedabad,India,Success,INR
TXN_B3BA3C05AECC,CUST_2CEC9252A0A1,AC258453521,REC_AC132653,Meera Bose,HDFC Bank,E-commerce,Amazon India,1493.46,Credit Card,2026-05-18 06:13:52,Gurgaon,India,Success,INR
TXN_B28534A98991,CUST_3AC0F315E32D,AC209415691,REC_AC594596,Gita Chauhan,SBI,E-commerce,Flipkart,279.32,Debit Card,2026-05-18 06:36:52,Lucknow,India,Success,INR
TXN_2E884443D9B1,CUST_41A22B0C3C72,AC807577342,REC_AC949767,Sneha Menon,SBI,Travel,MakeMyTrip,722.58,NEFT,2026-05-18 06:59:52,Chandigarh,India,Success,INR
TXN_5FA16BCCFADF,CUST_B8B7C1E4E9DC,AC120912992,REC_AC216308,Sunita Joshi,HDFC Bank,Retail,Local Kirana,267.72,Credit Card,2026-05-18 07:51:52,Lucknow,India,Success,INR
TXN_648F3664345C,CUST_01C02537A5CA,AC822408848,REC_AC880758,Sita Kumar,Kotak Mahindra,Travel,MakeMyTrip,452.13,UPI,2026-05-18 08:38:52,Kochi,India,Success,INR
TXN_06CAA276E094,CUST_AA9EDE3072FA,AC905817775,REC_AC463656,Rajesh Patel,Yes Bank,Travel,MakeMyTrip,298.78,Net Banking,2026-05-18 08:50:52,Chennai,India,Success,INR
TXN_1BE8B5178FAC,CUST_24ED2A165FC1,AC101815992,REC_AC695990,Sneha Gupta,Yes Bank,E-commerce,Flipkart,103789.54,UPI,2026-05-18 08:54:52,Mumbai,India,Success,INR
TXN_F53DE1521489,CUST_CD50341CE378,AC292587044,REC_AC218118,Mahesh Bose,PNB,Travel,Cleartrip,5658.37,Credit Card,2026-05-18 08:59:52,Gurgaon,India,Success,INR
TXN_588F8B406796,CUST_E762728AC2C4,AC751397897,REC_AC261050,Aarav Jain,HDFC Bank,Travel,Cleartrip,1082.74,NEFT,2026-05-18 09:12:52,Pune,India,Success,INR
TXN_768299CEBD10,CUST_C6FAC3E395B8,AC866162966,REC_AC487345,Vihaan Nair,Axis Bank,Groceries,Reliance Smart,1244.59,IMPS,2026-05-18 09:18:52,Chennai,India,Success,INR
TXN_438D4FF47E69,CUST_166838FFAEA4,AC155926488,REC_AC995420,Priya Chauhan,Kotak Mahindra,Travel,Cleartrip,1072.53,UPI,2026-05-18 10:10:52,Bengaluru,India,Success,INR
TXN_2BC57B4E8FEC,CUST_A274A25A299E,AC465830215,REC_AC506951,Sneha Iyer,Yes Bank,Travel,MakeMyTrip,41168.11,UPI,2026-05-18 10:16:52,Ahmedabad,India,Success,INR
TXN_1D233D1DD629,CUST_3AC0F315E32D,AC209415691,REC_AC849014,Rajesh Gupta,HDFC Bank,Electronics,Croma,483.98,Debit Card,2026-05-18 10:26:52,Lucknow,India,Success,INR
TXN_2AB355497DA0,CUST_AA9EDE3072FA,AC905817775,REC_AC463656,Rajesh Patel,Yes Bank,Groceries,Reliance Smart,793.55,Net Banking,2026-05-18 11:06:52,Chennai,India,Success,INR
TXN_4B1819CEFD2C,CUST_3D000F3782B4,AC484194737,REC_AC960899,Sita Gupta,HDFC Bank,Travel,MakeMyTrip,35771.5,Debit Card,2026-05-18 11:56:52,Gurgaon,India,Success,INR
TXN_14980FC90B02,CUST_6D76C861D951,AC208449460,REC_AC105433,Rohan Jain,PNB,Electronics,Croma,22580.92,Credit Card,2026-05-18 12:50:52,Delhi,India,Success,INR
TXN_BC904361BD74,CUST_9F5234269242,AC920814900,REC_AC238741,Meera Sharma,SBI,Crypto,Binance,6003.31,Debit Card,2026-05-18 13:38:52,Hyderabad,India,Success,INR
TXN_C577AB2D1524,CUST_99B31E34B435,AC110002396,REC_AC688730,Meera Menon,ICICI Bank,Groceries,D-Mart,1164.61,IMPS,2026-05-18 14:08:52,Chennai,India,Success,INR
TXN_2B685FEFDE99,CUST_55C717731AA3,AC327416584,REC_AC612356,Rajesh Chatterjee,Axis Bank,E-commerce,Amazon India,5823.86,Net Banking,2026-05-18 14:21:52,Chennai,India,Success,INR
TXN_BBACB686FBA2,CUST_166838FFAEA4,AC155926488,REC_AC899977,Suresh Iyer,PNB,Groceries,Reliance Smart,2098.61,UPI,2026-05-18 15:05:52,Bengaluru,India,Success,INR
TXN_63CC4FD77786,CUST_8866C1FABF99,AC269820594,REC_AC469954,Ananya Gupta,PNB,Groceries,D-Mart,28479.22,IMPS,2026-05-18 15:35:52,Delhi,India,Success,INR
TXN_24A506489596,CUST_3D000F3782B4,AC484194737,REC_AC960899,Sita Gupta,HDFC Bank,E-commerce,Amazon India,95876.44,Debit Card,2026-05-18 15:45:52,Gurgaon,India,Success,INR
TXN_7F371989DF69,CUST_C6FAC3E395B8,AC866162966,REC_AC254506,Aditya Rao,Yes Bank,Food,Zomato,4568.91,UPI,2026-05-18 09:13:52,Delhi,India,Success,INR
TXN_8F8B6B95808B,CUST_06E6B8486126,AC595744935,REC_AC951452,Rahul Rao,PNB,Retail,Local Kirana,316.91,Credit Card,2026-05-18 10:00:52,Jaipur,India,Success,INR
TXN_731C8B1A569D,CUST_166838FFAEA4,AC155926488,REC_AC899977,Suresh Iyer,PNB,Travel,MakeMyTrip,9243.53,UPI,2026-05-18 10:50:52,Bengaluru,India,Success,INR
TXN_280DB54256F2,CUST_8966A3CE4048,AC950488739,REC_AC475308,Karan Gupta,HDFC Bank,Food,Zomato,715.57,IMPS,2026-05-18 11:17:52,Bengaluru,India,Success,INR
TXN_A4549314EE4E,CUST_8866C1FABF99,AC269820594,REC_AC469954,Ananya Gupta,PNB,E-commerce,Flipkart,67533.36,IMPS,2026-05-18 12:16:52,Hyderabad,India,Success,INR
TXN_7AD47B953514,CUST_DE62BFF776A6,AC409893263,REC_AC381342,Aditya Joshi,Yes Bank,Electronics,Croma,9509.18,Debit Card,2026-05-18 12:44:52,Coimbatore,India,Success,INR
TXN_3DC958963808,CUST_B8B7C1E4E9DC,AC120912992,REC_AC862606,Neha Singh,Axis Bank,Crypto,Binance,13375.95,UPI,2026-05-18 12:52:52,Lucknow,India,Success,INR
TXN_C222478FF0C2,CUST_CD50341CE378,AC292587044,REC_AC218118,Mahesh Bose,PNB,Travel,MakeMyTrip,4813.3,Credit Card,2026-05-18 13:35:52,Gurgaon,India,Success,INR
TXN_C639A05E8AC0,CUST_0D92D17B540C,AC364371717,REC_AC700870,Sunita Chatterjee,Axis Bank,Groceries,D-Mart,1250.65,Debit Card,2026-05-18 13:56:52,Pune,India,Success,INR
TXN_0870AE72B0A1,CUST_71749AF6CF43,AC253407200,REC_AC956255,Kavya Iyer,Kotak Mahindra,Travel,MakeMyTrip,1912.03,NEFT,2026-05-18 14:49:52,Gurgaon,India,Success,INR
TXN_091CA4DADA76,CUST_0D563A0F2D46,AC812921644,REC_AC584172,Vihaan Joshi,Yes Bank,Groceries,D-Mart,1061.81,Net Banking,2026-05-18 15:43:52,Indore,India,Success,INR
